addr:street	addr:housenumber	addr:postcode
Przy Cegielni	24	30-736
Żeńców	60	30-734
Mariana Batki	26a	30-735
Żeńców	44	30-734
Łanowa	43d	30-725
Przy Cegielni	20f	30-736
Kielecka	2	31-526
Mogilska	40	31-523
Kielecka	27	31-523
Jana Kasprowicza	12	31-523
Kielecka	8	31-526
Jana Kasprowicza	5	31-523
Aleja Pułkownika Władysława Beliny-Prażmowskiego	46a	31-514
Józefa Chłopickiego	4	31-525
Kielecka	6	31-526
Mogilska	43b	31-546
Jana Kasprowicza	3	31-523
Bohdana Zaleskiego	15	31-525
Kielecka	7	31-526
Filipa Eisenberga	3	31-523
Grochowska	17	31-516
Józefa Chłopickiego	8	31-525
Mogilska	49	31-546
Kielecka	12	31-526
Kielecka	14	31-526
Jana Kasprowicza	7	31-523
Kielecka	3	31-526
Grochowska	25	31-516
Józefa Chłopickiego	6	31-525
Kielecka	5	31-526
Jana Kasprowicza	9a	31-523
Józefa Chłopickiego	12	31-525
Kielecka	16	31-526
Grochowska	19	31-516
Mogilska	51	31-546
Jana Kasprowicza	9	31-523
Józefa Chłopickiego	14	31-525
Kielecka	7A	31-526
Józefa Chłopickiego	10	31-525
Grunwaldzka	24	31-524
Stanisława Moniuszki	38	31-523
Aleja Pułkownika Władysława Beliny-Prażmowskiego	43	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	14	31-514
Józefa Brodowicza	1	31-518
Aleja Pułkownika Władysława Beliny-Prażmowskiego	42	31-514
Rakowicka	35a	31-510
Domki	11	31-519
Olszańska	5	31-513
Bohdana Zaleskiego	4b	31-525
Rakowicka	35	31-510
Władysława Jaworskiego	17	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	11a	31-514
Księdza Biskupa Władysława Bandurskiego	62a	31-515
Księdza Biskupa Władysława Bandurskiego	56	31-515
Rakowicka	33	31-510
Grochowska	4	31-521
Aleja Pułkownika Władysława Beliny-Prażmowskiego	26a	31-514
Księdza Ignacego Jana Skorupki	18	31-519
Ludwika Idzikowskiego	22	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	34	31-514
Stanisława Moniuszki	19	31-523
Bolesława Chrobrego	4	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	67	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	63	31-514
Księdza Biskupa Władysława Bandurskiego	62	31-515
Ludwika Idzikowskiego	7	31-519
Bolesława Chrobrego	7	31-519
Olszańska	7	31-513
Aleja Pułkownika Władysława Beliny-Prażmowskiego	8	31-514
Grochowska	14	31-521
Jana Kasprowicza	4	31-523
Aleja Pułkownika Władysława Beliny-Prażmowskiego	54	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	41	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	48	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	61	31-514
Rakowicka	73	31-521
Aleja Pułkownika Władysława Beliny-Prażmowskiego	30	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	33	31-514
Grochowska	4a	31-521
Cypriana Kamila Norwida	6	31-521
Aleja Pułkownika Władysława Beliny-Prażmowskiego	32	31-514
Domki	16	31-519
Olszańska	2	31-510
Bohdana Zaleskiego	10	31-525
Aleja Pułkownika Władysława Beliny-Prażmowskiego	55	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	23	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	10	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	24	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	14a	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	20a	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	15a	31-514
Księdza Biskupa Władysława Bandurskiego	52	31-515
Domki	19	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	31	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	16a	31-514
Ludwika Idzikowskiego	2	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	66	31-514
Księdza Ignacego Jana Skorupki	6	31-519
Władysława Jaworskiego	11	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	15	31-514
Rakowicka	41	31-510
Ludwika Idzikowskiego	11	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	68b	31-514
Ludwika Idzikowskiego	3	31-519
Księdza Biskupa Władysława Bandurskiego	6	31-515
Bolesława Chrobrego	2a	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	45	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	57	31-514
Olszańska	4	31-513
Księdza Biskupa Władysława Bandurskiego	54	31-515
Księdza Biskupa Władysława Bandurskiego	58	31-515
Aleja Pułkownika Władysława Beliny-Prażmowskiego	16	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	18a	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	58a	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	20	31-514
Księdza Biskupa Władysława Bandurskiego	64	31-515
Księdza Biskupa Władysława Bandurskiego	46	31-515
Józefa Brodowicza	5	31-518
Księdza Ignacego Jana Skorupki	20	31-519
Rakowicka	43b	31-510
Kielecka	32a	31-523
Bolesława Chrobrego	2	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	59	31-514
Olszańska	8	31-513
Ludwika Idzikowskiego	1	31-519
Rakowicka	77	31-521
Księdza Biskupa Władysława Bandurskiego	60	31-515
Olszańska	6	31-513
Aleja Pułkownika Władysława Beliny-Prażmowskiego	35	31-514
Grochowska	12	31-521
Grochowska	4b	31-521
Księdza Biskupa Władysława Bandurskiego	66	31-515
Olszańska	11	31-513
Księdza Biskupa Władysława Bandurskiego	12a	31-515
Aleja Pułkownika Władysława Beliny-Prażmowskiego	53	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	27	31-514
Księdza Ignacego Jana Skorupki	22	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	37	31-514
Kielecka	22	31-523
Aleja Pułkownika Władysława Beliny-Prażmowskiego	62	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	4	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	22	31-514
Olszańska	6a	31-513
Rakowicka	33a	31-510
Aleja Pułkownika Władysława Beliny-Prażmowskiego	26b	31-514
Ludwika Idzikowskiego	5	31-519
Józefa Brodowicza	5a	31-518
Księdza Ignacego Jana Skorupki	8	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	49	31-514
Domki	15	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	13	31-514
Grochowska	16	31-521
Józefa Brodowicza	3	31-518
Aleja Pułkownika Władysława Beliny-Prażmowskiego	29	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	4	31-514
Na Wiankach	12	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	65	31-514
Rakowicka	41a	31-510
Stanisława Moniuszki	6	31-513
Aleja Pułkownika Władysława Beliny-Prażmowskiego	28	31-514
Olszańska	14	31-513
Księdza Biskupa Władysława Bandurskiego	4	31-515
Księdza Biskupa Władysława Bandurskiego	8	31-515
Olszańska	16	31-513
Księdza Biskupa Władysława Bandurskiego	12	31-515
Księdza Biskupa Władysława Bandurskiego	24	31-515
Aleja Pułkownika Władysława Beliny-Prażmowskiego	12	31-514
Księdza Biskupa Władysława Bandurskiego	14	31-515
Księdza Biskupa Władysława Bandurskiego	50	31-515
Stanisława Moniuszki	4	31-513
Księdza Ignacego Jana Skorupki	24	31-519
Aleja Pułkownika Władysława Beliny-Prażmowskiego	47	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	21	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	17	31-514
Bohdana Zaleskiego	4a	31-525
Grochowska	10	31-521
Aleja Pułkownika Władysława Beliny-Prażmowskiego	36	31-514
Stanisława Moniuszki	2a	31-513
Aleja Pułkownika Władysława Beliny-Prażmowskiego	9	31-514
Księdza Biskupa Władysława Bandurskiego	2	31-515
Grochowska	3a	31-516
Generała Józefa Bema	5	31-517
Olszańska	9	31-513
Olszańska	13	31-513
Aleja Pułkownika Władysława Beliny-Prażmowskiego	49a	31-514
Grzegórzecka	40	31-532
Grzegórzecka	47	31-532
Kobierzyńska	112	30-382
Kobierzyńska	112a	30-382
Kobierzyńska	110	30-382
Pułkownika Francesco Nullo	27	31-543
Doktora Jana Piltza	29	30-392
Wielkanocna	27D	30-376
Wielkanocna	27B	30-376
Wielkanocna	27F	30-376
Jasia i Małgosi	28A	31-711
Jasia i Małgosi	30	31-711
Jasia i Małgosi	28	31-711
Gdyńska	21	31-323
Nad Sudołem	12	31-228
Władysława Łokietka	83	31-263
Kazimierza Wyki	6B	31-223
Łukasza Górnickiego	15	31-222
Adama Vetulaniego	5	31-226
Henryka Pachońskiego	17	31-223
Szymona Zimorowicza	17	31-227
Jasna	3	31-227
Jasna	28	31-227
Jarzynowa	3	31-225
Szymona Zimorowicza	36	31-227
Jarzynowa	12	31-225
Jarzynowa	4	31-225
Szymona Zimorowicza	39	31-227
Białoprądnicka	31	31-221
Adama Vetulaniego	5/B	31-226
Gdyńska	12	31-323
Szymona Zimorowicza	43	31-227
Adama Vetulaniego	8	31-226
Wewnętrzna	9	31-332
Władysława Łokietka	84	31-334
Władysława Łokietka	93	31-263
Adama Vetulaniego	5A	31-226
Bularnia	10	31-222
Władysława Łokietka	91	31-263
Bularnia	8	31-222
Stanisława Tomkowicza	10	31-332
Bliska	5	31-331
Białoprądnicka	34C	31-221
Pękowicka	6	31-262
Nad Sudołem	24	31-228
Władysława Łokietka	99	31-263
Bliska	8	31-331
Bliska	6a	31-331
Bularnia	11	31-222
Białoprądnicka	34A	31-221
Białoprądnicka	24B	31-221
Szymona Zimorowicza	36a	31-227
Władysława Łokietka	85	31-263
Pękowicka	19	31-262
Gdyńska	18	31-323
Szymona Zimorowicza	3	31-227
Jasna	22	31-227
Pleszowska	13	31-228
Jarzynowa	2	31-225
Jarzynowa	5	31-225
Białoprądnicka	20a	31-221
Gdyńska	28	31-323
Henryka Pachońskiego	12	31-223
Gdyńska	26	31-323
Gdyńska	11a	31-323
Wewnętrzna	7	31-332
Białoprądnicka	22B	31-221
Białoprądnicka	24	31-221
Władysława Łokietka	88	31-334
Szymona Zimorowicza	44	31-227
Biała	16	31-215
Jasna	39	31-227
Piotra Kluzeka	6	31-222
Jasna	18	31-227
Szymona Zimorowicza	6	31-227
Jasna	32B	31-227
Gdyńska	10	31-323
Na Chałupkach	9	31-333
Pękowicka	5	31-262
Pękowicka	13	31-262
Wewnętrzna	1	31-332
Zielińska	3	31-227
Bliska	6	31-331
Władysława Łokietka	87	31-263
Białoprądnicka	15	31-221
Jasna	3A	31-227
Pleszowska	7	31-228
Jasna	5	31-227
Jasna	26	31-227
Jarzynowa	1	31-225
Skrajna	5	31-331
Białoprądnicka	39	31-221
Szymona Zimorowicza	28	31-227
Łukasza Górnickiego	20	31-222
Białoprądnicka	33b	31-221
Szymona Zimorowicza	16	31-227
Pękowicka	15	31-262
Pękowicka	17	31-262
Pleszowska	29	31-228
Jasna	24	31-227
Szymona Zimorowicza	46	31-227
Pękowicka	7	31-262
Szymona Zimorowicza	48	31-227
Gdyńska	23	31-323
Władysława Łokietka	97	31-263
Owsiana	15	31-332
Bliska	10	31-331
Bularnia	5	31-222
Na Chałupkach	7	31-333
Szymona Zimorowicza	8A	31-227
Białoprądnicka	34	31-221
Owsiana	10	31-332
Bularnia	4	31-222
Pękowicka	4	31-262
Bularnia	6	31-222
Bliska	7	31-331
Henryka Pachońskiego	6A	31-223
Bliska	1	31-331
Henryka Pachońskiego	4A	31-223
Białoprądnicka	32C	31-221
Henryka Pachońskiego	15	31-223
Bliska	4	31-331
Gdyńska	24	31-323
Pleszowska	15	31-228
Bliska	9	31-331
Skrajna	3a	31-331
Skrajna	7	31-331
Północna	7	31-332
Skrajna	9	31-331
Owsiana	13b	31-332
Gdyńska	13	31-323
Jasna	30	31-227
Pękowicka	21a	31-262
Gdyńska	16	31-323
Jasna	35	31-227
Stanisława Pigonia	7	31-230
Gdyńska	32	31-323
Białoprądnicka	29	31-221
Skrajna	13	31-331
Gdyńska	30	31-323
Szymona Zimorowicza	13	31-227
Białoprądnicka	26	31-221
Owsiana	13	31-332
Jasna	32	31-227
Wewnętrzna	11	31-332
Wewnętrzna	13	31-332
Opolska	15A	31-323
Pleszowska	21	31-228
Jasna	16	31-227
Szymona Zimorowicza	40	31-227
Stanisława Zaremby	3	31-224
Stanisława Pigonia	3	31-230
Pękowicka	8	31-262
Jasna	41	31-227
Szymona Zimorowicza	2	31-227
Szymona Zimorowicza	7	31-227
Pleszowska	11	31-228
Białoprądnicka	34B	31-221
Białoprądnicka	22	31-221
Białoprądnicka	32	31-221
Szymona Zimorowicza	10	31-227
Pleszowska	29a	31-228
Białoprądnicka	31b	31-221
Białoprądnicka	24A	31-221
Białoprądnicka	31c	31-221
Ludwika Pasteura	7	31-221
Pękowicka	9	31-262
Pękowicka	11	31-262
Białoprądnicka	24C	31-221
Skrajna	4	31-331
Wincentego Danka	5	31-229
Nad Sudołem	10	31-228
Henryka Pachońskiego	9	31-223
Opolska	18	31-323
Gabriela Narutowicza	14	31-221
Zdrowa	14	31-216
Owsiana	6	31-332
Zdrowa	28a	31-216
Nad Strugą	17	31-411
Owsiana	4	31-332
Siewna	42	31-231
Siewna	74a	31-231
Turystyczna	14A	31-212
Kuźnicy Kołłątajowskiej	27c	31-234
Kuźnicy Kołłątajowskiej	92	31-234
Aleja 29 Listopada	98	31-406
Siewna	24	31-231
Zdrowa	22d	31-216
Siewna	10	31-231
Bociana	18	31-231
Kuźnicy Kołłątajowskiej	37	31-234
Siewna	18	31-231
Turystyczna	10	31-212
Siewna	34	31-231
Kuźnicy Kołłątajowskiej	27e	31-234
Siewna	34A	31-231
Siewna	74	31-231
Turystyczna	17	31-212
Biała	13	31-215
Kuźnicy Kołłątajowskiej	39	31-234
Henryka Pachońskiego	8A	31-223
Siewna	72	31-231
Janusza Korczaka	4	31-215
Janusza Korczaka	4a	31-215
Gdyńska	20	31-323
Gdyńska	22	31-323
Ujastek	7	31-752
Generała Stefana Grota-Roweckiego	9	30-363
Jana Olbrachta	18	31-710
Kobierzyńska	61	30-363
Kobierzyńska	75	30-363
Dolnomłyńska	12	31-580
Aleja Jana Pawła II	132	31-982
Księdza Józefa Zastawniaka	2	31-580
Księdza Józefa Zastawniaka	4	31-580
Generała Stefana Grota-Roweckiego	7	30-348
Walerego Eliasza Radzikowskiego	17	31-305
Bułgarska	28	30-409
Irysowa	5	30-411
Zygmunta Miłkowskiego	5	30-349
Zygmunta Miłkowskiego	10	30-411
Wacława Lipińskiego	20a	30-349
Zygmunta Miłkowskiego	10	30-411
Mikołaja Zyblikiewicza	17	31-029
Morsztynowska	4	31-029
Stanisława Rostworowskiego	4	30-358
Stanisława Rostworowskiego	6	30-358
Niepokalanej Marii Panny	40A	31-589
Niepokalanej Marii Panny	94	31-589
Niepokalanej Marii Panny	61	31-589
Niepokalanej Marii Panny	57	31-589
Niepokalanej Marii Panny	59	31-589
Odmętowa	90	31-979
Niepokalanej Marii Panny	40	31-589
Niepokalanej Marii Panny	66	31-589
Niepokalanej Marii Panny	48	31-589
Niepokalanej Marii Panny	12	31-589
Niepokalanej Marii Panny	62	31-589
Niepokalanej Marii Panny	36	31-589
Niepokalanej Marii Panny	34	31-589
Niepokalanej Marii Panny	32	31-589
Niepokalanej Marii Panny	14	31-589
Niepokalanej Marii Panny	51	31-589
Niepokalanej Marii Panny	42	31-589
Niepokalanej Marii Panny	63	31-589
Niepokalanej Marii Panny	60	31-589
Niepokalanej Marii Panny	64	31-589
Odmętowa	108	31-979
Niepokalanej Marii Panny	68	31-589
Niepokalanej Marii Panny	36A	31-589
Niepokalanej Marii Panny	18	31-589
Niepokalanej Marii Panny	46	31-589
Niepokalanej Marii Panny	117	31-589
Niepokalanej Marii Panny	91	31-589
Niepokalanej Marii Panny	93	31-589
Niepokalanej Marii Panny	103	31-589
Niepokalanej Marii Panny	115	31-589
Niepokalanej Marii Panny	71	31-589
Odmętowa	107	31-979
Niepokalanej Marii Panny	69b	31-589
Cegielniana	20a	30-404
Zakopiańska	5	30-418
Zakopiańska	7	30-418
Księdza Mikołaja Kuczkowskiego	17	31-618
Księdza Mikołaja Kuczkowskiego	15	31-618
Papiernia	8	32-088
Krakowska	43	32-088
Krakowska	45	32-088
Leśna Polana	6	32-088
Kielecka	10	31-526
Kielecka	4	31-526
Mogilska	17a	31-542
Mogilska	21	31-546
Agatowa	1	30-798
Wincentego Pola	3	31-532
Księdza Franciszka Blachnickiego	3	31-535
Zygmunta Miłkowskiego	10	30-411
Grąby	18	31-980
Niepokalanej Marii Panny	125	31-589
Niepokalanej Marii Panny	123A	31-589
Niepokalanej Marii Panny	121A	31-589
Michała Wołodyjowskiego	12A	31-980
Michała Wołodyjowskiego	15A	31-980
Michała Wołodyjowskiego	22	31-980
Michała Wołodyjowskiego	17	31-980
Michała Wołodyjowskiego	23	31-980
Michała Wołodyjowskiego	19	31-980
Michała Wołodyjowskiego	11	31-980
Opata Salwińskiego	10	31-980
Graniczna	7	31-980
Graniczna	3	31-980
Graniczna	9A	31-980
Graniczna	5a	31-980
Graniczna	11	31-980
Michała Wołodyjowskiego	10	31-980
Graniczna	5	31-980
Michała Wołodyjowskiego	24	31-980
Michała Wołodyjowskiego	26A	31-980
Grąby	5	31-980
Michała Wołodyjowskiego	26	31-980
Grąby	3	31-980
Michała Wołodyjowskiego	28	31-980
Graniczna	4	31-980
Graniczna	2	31-980
Jana Onufrego Zagłoby	13A	31-980
Jana Onufrego Zagłoby	50	31-980
Jana Onufrego Zagłoby	44	31-980
Jana Onufrego Zagłoby	66	31-980
Jana Onufrego Zagłoby	30	31-980
Jana Onufrego Zagłoby	1	31-980
Grąby	11	31-980
Grąby	9	31-980
Michała Wołodyjowskiego	12	31-980
Andrzeja Kmicica	16	31-980
Michała Wołodyjowskiego	4	31-980
Michała Wołodyjowskiego	3	31-980
Andrzeja Kmicica	3	31-980
Michała Wołodyjowskiego	16	31-980
Michała Wołodyjowskiego	14	31-980
Michała Wołodyjowskiego	18	31-980
Wojenna	9	31-979
Graniczna	10B	31-980
Michała Wołodyjowskiego	2	31-980
Michała Wołodyjowskiego	5	31-980
Michała Wołodyjowskiego	1	31-980
Andrzeja Kmicica	14	31-980
Grąby	13	31-980
Andrzeja Kmicica	3B	31-980
Michała Wołodyjowskiego	3A	31-980
Andrzeja Kmicica	18	31-980
Graniczna	10A	31-980
Michała Wołodyjowskiego	14a	31-980
Sołtysowska	11D	31-589
Niepokalanej Marii Panny	11	31-589
Niepokalanej Marii Panny	13	31-589
Niepokalanej Marii Panny	15	31-589
Niepokalanej Marii Panny	16	31-589
Niepokalanej Marii Panny	17	31-589
Niepokalanej Marii Panny	19	31-589
Niepokalanej Marii Panny	21	31-589
Niepokalanej Marii Panny	23	31-589
Niepokalanej Marii Panny	25	31-589
Niepokalanej Marii Panny	29	31-589
Niepokalanej Marii Panny	3	31-589
Niepokalanej Marii Panny	4	31-589
Niepokalanej Marii Panny	44	31-589
Niepokalanej Marii Panny	5	31-589
Niepokalanej Marii Panny	53	31-589
Niepokalanej Marii Panny	6	31-589
Niepokalanej Marii Panny	65	31-589
Niepokalanej Marii Panny	7	31-589
Niepokalanej Marii Panny	8	31-589
Niepokalanej Marii Panny	9	31-589
Niepokalanej Marii Panny	15A	31-589
Niepokalanej Marii Panny	117C	31-589
Niepokalanej Marii Panny	117D	31-589
Niepokalanej Marii Panny	121	31-589
Niepokalanej Marii Panny	123	31-589
Niepokalanej Marii Panny	95	31-589
Niepokalanej Marii Panny	97	31-589
Niepokalanej Marii Panny	99	31-589
Michała Wołodyjowskiego	20	31-980
Niepokalanej Marii Panny	79	31-980
Opata Salwińskiego	19	31-980
Opata Salwińskiego	1	31-980
Michała Wołodyjowskiego	5C	31-980
Niepokalanej Marii Panny	75	31-980
Niepokalanej Marii Panny	73	31-980
Opata Salwińskiego	21	31-980
Niepokalanej Marii Panny	77	31-980
Michała Wołodyjowskiego	7	31-980
Opata Salwińskiego	15	31-980
Opata Salwińskiego	23	31-980
Michała Wołodyjowskiego	5A	31-980
Michała Wołodyjowskiego	6	31-980
Opata Salwińskiego	25	31-980
Opata Salwińskiego	27	31-980
Michała Wołodyjowskiego	11A	31-980
Michała Wołodyjowskiego	13	31-980
Michała Wołodyjowskiego	15	31-980
Grąby	20	31-980
Michała Wołodyjowskiego	5B	31-980
Michała Wołodyjowskiego	9	31-980
Grąby	21	31-980
Jana Onufrego Zagłoby	52	31-980
Jana Onufrego Zagłoby	1B	31-980
Niepokalanej Marii Panny	86	31-980
XX Pijarów	10	31-466
Radomska	14a	31-435
Radomska	36	31-411
Zenona Klemensiewicza	10	31-482
Aleja 29 Listopada	50	31-425
Zenona Klemensiewicza	8	31-482
Żabiniec	70	31-215
Żabiniec	68	31-215
Janusza Korczaka	1	31-215
Janusza Korczaka	2	31-215
Janusza Korczaka	3	31-215
Janusza Korczaka	5	31-215
Prądnicka	72	31-202
Prądnicka	72B	31-202
Prądnicka	74a	31-202
Prądnicka	76	31-202
Prądnicka	78a	31-215
Krowoderskich Zuchów	15a	31-271
Stanisława Fishera	17	31-321
Plac Generała Władysława Sikorskiego	6a	31-115
Czarnowiejska	6	31-126
Studencka	2	31-116
Jana Kochanowskiego	17	31-127
Mała	1	31-103
Topolowa	3	31-512
Aleja Pułkownika Władysława Beliny-Prażmowskiego	44	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	44a	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	50	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	52	31-514
Aleja Pułkownika Władysława Beliny-Prażmowskiego	64	31-514
Księdza Biskupa Władysława Bandurskiego	10	31-515
Aleja Pułkownika Władysława Beliny-Prażmowskiego	48b	31-514
Cypriana Kamila Norwida	1	31-521
Ignacego Łukasiewicza	18	31-429
Grochowska	18a	31-521
Ignacego Łukasiewicza	18a	31-429
Grochowska	19a	31-516
Ignacego Łukasiewicza	20	31-429
Ignacego Łukasiewicza	20a	31-429
Grochowska	21	31-516
Grochowska	23	31-516
Grochowska	23a	31-516
Łukasza Cieplińskiego	27	31-518
Grochowska	27A	31-516
Grochowska	27B	31-516
Grochowska	27C	31-516
Grochowska	29	31-516
Łukasza Cieplińskiego	29	31-518
Grochowska	29a	31-516
Cypriana Kamila Norwida	3	31-521
Ignacego Łukasiewicza	4	31-429
Cypriana Kamila Norwida	5	31-521
Rusałek	5	31-521
Grochowska	6	31-521
Rusałek	6	31-521
Grochowska	6a	31-521
Grochowska	6b	31-521
Cypriana Kamila Norwida	7	31-521
Cypriana Kamila Norwida	7B	31-521
Józefa Narzymskiego	12	31-463
Kryniczna	12	31-463
Józefa Narzymskiego	14	31-463
Kryniczna	14	31-463
Cystersów	16	31-553
Józefa Narzymskiego	16	31-463
Cystersów	18	31-553
Józefa Narzymskiego	18	31-463
Stefana Bobrowskiego	2	31-552
Stefana Bobrowskiego	4	31-552
Olszyny	5	31-463
Aleja Pokoju	5A	31-548
Grzegórzecka	71	31-559
Józefa Narzymskiego	8	31-463
Olszyny	9a	31-463
Olszyny	9b	31-463
Lesista	10	31-463
Eugeniusza Baziaka	1	31-619
Na Szaniec	1	31-560
Półkole	1	31-559
Księdza Mikołaja Kuczkowskiego	1	31-618
Na Szaniec	13	31-560
Księdza Józefa Kurzei	14	31-618
Księdza Mikołaja Kuczkowskiego	14	31-618
Księdza Mikołaja Kuczkowskiego	16	31-618
Na Szaniec	1a	31-560
Na Szaniec	2	31-560
Eugeniusza Baziaka	3	31-619
Na Szaniec	3	31-560
Półkole	3	31-559
Na Szaniec	4	31-560
Eugeniusza Baziaka	5	31-619
Na Szaniec	5	31-560
Eugeniusza Baziaka	7	31-619
Na Szaniec	7	31-560
Na Szaniec	9	31-560
Jana Mosdorfa	2	31-619
Jana Mosdorfa	9	31-619
Jana Mosdorfa	12	31-619
Bolesława Wstydliwego	18	31-710
Owocowa	19	30-434
Kobierzyńska	193A	30-382
Owocowa	21	30-434
Kobierzyńska	130	30-382
Kosocicka	36a	30-694
Kosocicka	93	30-694
Ostatnia	2c	31-444
Księdza Ignacego Jana Skorupki	10	31-519
Księdza Ignacego Jana Skorupki	14	31-519
Dukatów	15	31-431
Dukatów	15a	31-431
Władysława Jaworskiego	16b	31-519
Księdza Ignacego Jana Skorupki	17	31-519
Domki	3	31-519
Ludwika Idzikowskiego	4	31-519
Domki	5	31-519
Floriańska	55	31-019
Dukatów	6	31-431
Ludwika Idzikowskiego	6	31-519
Władysława Jaworskiego	6	31-519
Domki	7	31-519
Reformacka	7	31-012
Władysława Jaworskiego	8	31-519
Domki	9	31-519
Bolesława Chrobrego	5	31-519
Na Wiankach	20	31-519
Księdza Ignacego Jana Skorupki	17a	31-519
Generała Bolesława Roi	4a	30-606
Chochołowska	11	30-609
Ratajska	3	30-608
Siostry Faustyny	60A	30-608
Siostry Faustyny	58	30-608
Siostry Faustyny	36	30-608
Generała Bolesława Roi	4	30-606
Zakopiańska	28	30-418
Zakopiańska	32A	30-418
Bułgarska	38	30-409
Krokusowa	3	30-430
Zbrojarzy	109d	30-412
Zbrojarzy	86	30-412
Zbrojarzy	109c	30-412
Zbrojarzy	75a	30-412
Zdunów	32b	30-412
Zbrojarzy	109b	30-412
Zbrojarzy	107	30-412
Zbrojarzy	109a	30-412
Sąsiedzka	28c	30-385
Pszczelna	48	30-431
Pszczelna	42	30-431
Siewna	17	31-231
Krowoderskich Zuchów	14	31-272
Zbrojarzy	21	30-412
Zbrojarzy	25	30-412
Bałtycka	3	31-214
Kuźnicy Kołłątajowskiej	43	31-234
Kuźnicy Kołłątajowskiej	45	31-234
Kuźnicy Kołłątajowskiej	47	31-234
Huculska	4A	30-413
Zbrojarzy	98	30-412
Krowoderskich Zuchów	22	31-272
Kuźnicy Kołłątajowskiej	96	31-234
Kuźnicy Kołłątajowskiej	31C	31-234
Tadeusza Micińskiego	2	30-426
Opolska	37	31-276
Kuźnicy Kołłątajowskiej	94	31-234
Kuźnicy Kołłątajowskiej	98	31-234
Kuźnicy Kołłątajowskiej	49	31-234
Kuźnicy Kołłątajowskiej	41	31-234
Juliana Ursyna Niemcewicza	7	30-427
Krakowska	121	30-199
Przy Moście	7	30-508
Dworska	31	32-085
Łąkowa	11	32-085
Zacisze	9	32-085
Krakowska	5	31-062
Stefana Otwinowskiego	4	31-432
Kasztanowa	63	32-089
Kasztanowa	51	32-089
Profesora Adama Rożańskiego	33	32-085
Kasztanowa	13	32-085
Kasztanowa	11	32-085
Profesora Adama Rożańskiego	29	32-085
Floriańska	38	31-021
Forteczna	146	30-437
Słoneczna	24	30-199
Kościelna	11	32-010
Ludwika Idzikowskiego	9	31-519
Ludwika Idzikowskiego	11a	31-519
Ludwika Idzikowskiego	13	31-519
Rakowicka	81	31-521
Ludwika Idzikowskiego	15	31-519
Ludwika Idzikowskiego	17b	31-519
Ludwika Idzikowskiego	17a	31-519
Ludwika Idzikowskiego	19	31-519
Poleska	7	31-580
Wiklinowa	9a	31-589
Wiklinowa	7	31-589
Wiklinowa	16	31-589
Cuplowa	3	31-588
Wiklinowa	3B	31-589
Isep	18	31-588
Wiklinowa	12A	31-589
Wiklinowa	11	31-589
Wiklinowa	5	31-589
Wiklinowa	13	31-589
Wiklinowa	14	31-589
Wiklinowa	9	31-589
Isep	16	31-588
Wiklinowa	11a	31-589
Wiklinowa	9c	31-589
Wiklinowa	9b	31-589
Zacisze	9	32-010
Cyprysowa	30	32-010
Zacisze	6	32-010
